# OpenShift Credentials Configuration
# Format: server_hostname|username|password
# Lines starting with # are comments

openshift.cluster1.com|john.doe|mypassword123
openshift.cluster2.com|john.doe|differentpass456
openshift.cluster3.com|admin.user|adminpass789
console-openshift-console.apps.dev.cluster1.com|dev.user|devpass123
console-openshift-console.apps.qa.cluster2.com|qa.user|qapass456
console-openshift-console.apps.prod.cluster3.com|prod.user|prodpass789

# Additional examples - customize these for your environment
# your-openshift-server.com|your-username|your-password
# another-cluster.company.com|service-account|service-password
